Year,Movie,War, SciFi, Horror, Western, FilmNoir, Drama, Musical, Sport, Fantasy, Family, Romance, Action, Animation, Crime, Thriller, Adventure, Music, Comedy, Mystery, Biography, History,Oscar
1997 , The English Patient,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,1
1997 , Fargo,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0
1997 , Jerry Maguire,0,0,0,0,0,0.25,0,0.25,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0
1997 , Secrets & Lies,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997 , Shine,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0.25,0,0
1996 , Braveheart,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,1
1996 , Apollo 13,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0
1996 , Babe,0,0,0,0,0,0.3333333333333333,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0
1996 , Il Postino: The Postman,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0.25,0,0
1996 , Sense and Sensibility,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
1995 , Forrest Gump,0,0,0,0,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0.3333333333333333,0,0,0,1
1995 , Four Weddings and a Funeral,0,0,0,0,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0.3333333333333333,0,0,0,0
1995 , Pulp Fiction,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
1995 , Quiz Show,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0
1995 , The Shawshank Redemption,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
1994 , Schindler's List,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,1
1994 , The Fugitive,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0.2,0,0,0
1994 , In the Name of the Father,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
1994 , The Piano,0,0,0,0,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0,0,0,0.3333333333333333,0,0,0,0,0
1994 , The Remains of the Day,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
1993 , Unforgiven,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1993 , The Crying Game,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0
1993 , A Few Good Men,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
1993 , Howards End,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
1993 , Scent of a Woman,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992 , The Silence of the Lambs,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,1
1992 , Beauty and the Beast,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0
1992 , Bugsy,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0.3333333333333333,0,0
1992 , JFK,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0.3333333333333333,0
1992 , The Prince of Tides,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
1991 , Dances with Wolves,0,0,0,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,1
1991 , Awakenings,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
1991 , Ghost,0,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0
1991 , The Godfather: Part III,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
1991 , Goodfellas,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0.3333333333333333,0,0
1990 , Driving Miss Daisy,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1990 , Born on the Fourth of July,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0
1990 , Dead Poets Society,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
1990 , Field of Dreams,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0
1990 , My Left Foot,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
1989 , Rain Man,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1989 , The Accidental Tourist,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
1989 , Dangerous Liaisons,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
1989 , Mississippi Burning,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2,0,0.2,0
1989 , Working Girl,0,0,0,0,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0.3333333333333333,0,0,0,0
1988 , The Last Emperor,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,1
1988 , Broadcast News,0,0,0,0,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0.3333333333333333,0,0,0,0
1988 , Fatal Attraction,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
1988 , Hope and Glory,0,0,0,0,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0.3333333333333333,0,0,0,0
1988 , Moonstruck,0,0,0,0,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0.3333333333333333,0,0,0,0
1987 , Platoon,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1987 , Children of a Lesser God,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
1987 , Hannah and Her Sisters,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
1987 , The Mission,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0
1987 , A Room with a View,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
1986 , Out of Africa,0,0,0,0,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0.3333333333333333,0,1
1986 , The Color Purple,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986 , Kiss of the Spider Woman,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986 , Prizzi's Honor,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0
1986 , Witness,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0
1985 , Amadeus,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,1
1985 , The Killing Fields,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0
1985 , A Passage to India,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0
1985 , Places in the Heart,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985 , A Soldier's Story,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0
1984 , Terms of Endearment,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
1984 , The Big Chill,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
1984 , The Dresser,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
